组织名称,部门名称,a_position,b_position,relationship
招商邮轮,营销中心,营销中心总经理,主管,1
招商邮轮,营销中心,营销中心总经理,副总监,0
招商邮轮,营销中心,营销中心总经理,总监,1
招商邮轮,营销中心,营销中心总经理,营销中心总经理,1
招商邮轮,营销中心,营销中心总经理,蛇口邮轮母港（迅隆船务）市场部经理（师级）,1
招商邮轮,营销中心,营销中心总经理,迅隆船务市场部票务经理,0
招商邮轮,营销中心,营销中心总经理,邮轮事业部营销中心业务经理,1
招商邮轮,营销中心,营销中心总经理,邮轮事业部营销中心副总经理,1
招商邮轮,营销中心,营销中心总经理,销售助理,0
招商邮轮,营销中心,营销中心总经理,高级经理,1
招商邮轮,营销中心,营销中心操作员（操作序列）,公司-操作序列-事业部本部操作岗,1
招商邮轮,营销中心,营销中心操作员（操作序列）,总经理助理,0
招商邮轮,营销中心,营销中心操作员（操作序列）,总经理秘书,0
招商邮轮,营销中心,营销中心操作员（操作序列）,招港客运客运部码头服务员,0
招商邮轮,营销中心,营销中心操作员（操作序列）,英语教师,0
招商邮轮,营销中心,营销中心操作员（操作序列）,营销中心操作员（操作序列）,1
招商邮轮,营销中心,营销中心操作员（操作序列）,蛇口邮轮母港（迅隆船务）旅客服务部票务组服务员,0
招商邮轮,营销中心,营销中心操作员（操作序列）,邮轮事业部营销中心部门操作岗,1
招商邮轮,营销中心,营销中心电商副总监,公司-专业序列-专业公司总部主任师级,0
招商邮轮,营销中心,营销中心电商副总监,副总,1
招商邮轮,营销中心,营销中心电商副总监,营销中心总监,1
招商邮轮,营销中心,营销中心电商副总监,营销中心电商副总监,1
招商邮轮,营销中心,营销中心电商副总监,规划总监,0
招商邮轮,营销中心,营销中心电商副总监,运营总监,0
招商邮轮,营销中心,营销中心电商副总监,销售经理,1
招商邮轮,营销中心,营销中心资深专业经理, 大客户总监,1
招商邮轮,营销中心,营销中心资深专业经理,会员组经理,0
招商邮轮,营销中心,营销中心资深专业经理,公司-专业序列-专业公司总部副主任师级,0
招商邮轮,营销中心,营销中心资深专业经理,品牌研究员,1
招商邮轮,营销中心,营销中心资深专业经理,总裁秘书,0
招商邮轮,营销中心,营销中心资深专业经理,招商商置主任租赁管理师,0
招商邮轮,营销中心,营销中心资深专业经理,港口业务中心资深专业经理,0
招商邮轮,营销中心,营销中心资深专业经理,研究经理,0
招商邮轮,营销中心,营销中心资深专业经理,经理,1
招商邮轮,营销中心,营销中心资深专业经理,船务业务中心高级专业经理（操作序列）,0
招商邮轮,营销中心,营销中心资深专业经理,营销中心专业经理（操作序列）,1
招商邮轮,营销中心,营销中心资深专业经理,营销中心产品副总监,1
招商邮轮,营销中心,营销中心资深专业经理,营销中心副总经理,1
招商邮轮,营销中心,营销中心资深专业经理,营销中心资深专业经理,1
招商邮轮,营销中心,营销中心资深专业经理,蛇口邮轮母港（迅隆船务）物业经营部总监,0
招商邮轮,营销中心,营销中心资深专业经理,西南片区负责人,0
招商邮轮,营销中心,营销中心资深专业经理,迅隆船务运营管理部经理助理,0
招商邮轮,营销中心,营销中心资深专业经理,邮轮事业部港口运营中心副总经理,0
招商邮轮,营销中心,营销中心资深专业经理,邮轮事业部营销中心副总经理2,1
招商邮轮,营销中心,营销中心资深专业经理,邮轮事业部营销中心商业营销总监,1
招商邮轮,营销中心,营销中心资深专业经理,邮轮事业部营销中心部门操作岗,1
招商邮轮,营销中心,营销中心资深专业经理,邮轮事业部运作保障中心综合事务总监,0
招商邮轮,营销中心,营销中心资深专业经理,高级经理,0
招商邮轮,营销中心,营销中心资深主管,招港客运市场与客户服务部文员,0
招商邮轮,营销中心,营销中心资深主管,文员,0
招商邮轮,营销中心,营销中心资深主管,港口业务中心资深主管,0
招商邮轮,营销中心,营销中心资深主管,职员,0
招商邮轮,营销中心,营销中心资深主管,营销中心资深主管,1
招商邮轮,营销中心,营销中心资深主管,蛇口邮轮母港（迅隆船务）办公室高级主管,0
招商邮轮,营销中心,营销中心资深主管,蛇口邮轮母港（迅隆船务）码头操作部主管,0
招商邮轮,营销中心,营销中心资深主管,迅隆船务办公室信息事务主管,0
招商邮轮,营销中心,营销中心资深主管,邮轮事业部港口运营中心部门操作岗,0
招商邮轮,营销中心,营销中心资深主管,邮轮事业部港口运营中心高级主管,0
招商邮轮,营销中心,营销中心资深主管,邮轮事业部营销中心主管,1
招商邮轮,营销中心,营销中心资深主管（操作序列）,公司-专业序列-专业公司总部部员级,0
招商邮轮,营销中心,营销中心资深主管（操作序列）,助理销售经理,1
招商邮轮,营销中心,营销中心资深主管（操作序列）,商务发展部副经理,0
招商邮轮,营销中心,营销中心资深主管（操作序列）,营销业务经理,1
招商邮轮,营销中心,营销中心资深主管（操作序列）,营销中心资深主管（操作序列）,1
招商邮轮,营销中心,营销中心资深主管（操作序列）,资深营销经理,1
招商邮轮,营销中心,营销中心资深主管（操作序列）,销售协调员,1
招商邮轮,营销中心,营销中心资深主管（操作序列）,高级销售经理,1
招商邮轮,营销中心,营销中心销售岗,营销中心销售岗,1
招商邮轮,营销中心,营销中心销售岗,财务管理部高级主管,0
招商邮轮,营销中心,营销中心销售岗,邮轮事业部财务管理部主管,0
招商邮轮,营销中心,营销中心高级专业经理,主管,0
招商邮轮,营销中心,营销中心高级专业经理,公司-专业序列-专业公司总部高级师级,1
招商邮轮,营销中心,营销中心高级专业经理,店长,0
招商邮轮,营销中心,营销中心高级专业经理,经理,1
招商邮轮,营销中心,营销中心高级专业经理,编辑,0
招商邮轮,营销中心,营销中心高级专业经理,营销中心高级专业经理,1
招商邮轮,营销中心,营销中心高级专业经理,邮轮事业部营销中心高级主管,1
招商邮轮,营销中心,营销中心高级专业经理,邮轮事业部营销中心高级经理,1
招商邮轮,营销中心,营销中心高级专业经理,采购经理,0
招商邮轮,营销中心,营销中心高级专员,公司-专业序列-专业公司总部部员级,0
招商邮轮,营销中心,营销中心高级专员,实习生,0
招商邮轮,营销中心,营销中心高级专员,策划 剪辑,0
招商邮轮,营销中心,营销中心高级专员,编导,0
招商邮轮,营销中心,营销中心高级专员,编辑,0
招商邮轮,营销中心,营销中心高级专员,营销中心专员,1
招商邮轮,营销中心,营销中心高级专员,营销中心高级专员,1
招商邮轮,营销中心,营销中心高级专员,邮轮事业部营销中心高级主管,1
招商邮轮,营销中心,营销中心高级专员（操作序列）,公司-操作序列-专业公司总部操作岗,1
招商邮轮,营销中心,营销中心高级专员（操作序列）,公司-操作序列-事业部本部操作岗,1
招商邮轮,营销中心,营销中心高级专员（操作序列）,招港客运客运部码头服务员,0
招商邮轮,营销中心,营销中心高级专员（操作序列）,港口业务中心高级专员（操作序列）,1
招商邮轮,营销中心,营销中心高级专员（操作序列）,营销中心专员（操作序列）,1
招商邮轮,营销中心,营销中心高级专员（操作序列）,营销中心高级专员（操作序列）,1
招商邮轮,营销中心,营销中心高级专员（操作序列）,蛇口邮轮母港（迅隆船务）旅客服务部旅客服务组高级主管,0
招商邮轮,营销中心,营销中心高级主管,公司-操作序列-事业部本部操作岗,0
招商邮轮,营销中心,营销中心高级主管,初中英语教师,0
招商邮轮,营销中心,营销中心高级主管,营销中心主管（操作序列）,1
招商邮轮,营销中心,营销中心高级主管,营销中心高级主管,1
招商邮轮,营销中心,营销中心高级主管,蛇口邮轮母港（迅隆船务）旅客服务部值机组值机员,0
招商邮轮,营销中心,营销中心高级主管（操作序列）,公司-操作序列-专业公司总部操作岗,1
招商邮轮,营销中心,营销中心高级主管（操作序列）,电商销售主播,0
招商邮轮,营销中心,营销中心高级主管（操作序列）,营销中心主管（操作序列）,1
招商邮轮,营销中心,营销中心高级主管（操作序列）,营销中心高级主管（操作序列）,1
招商邮轮,港口业务中心（蛇口邮轮母港）,港口业务中心专业经理,招港客运办公室物业主管,0
招商邮轮,港口业务中心（蛇口邮轮母港）,港口业务中心专业经理,文员,0
招商邮轮,港口业务中心（蛇口邮轮母港）,港口业务中心专业经理,港口业务中心专业经理,1
招商邮轮,港口业务中心（蛇口邮轮母港）,港口业务中心专业经理,蛇口邮轮母港（迅隆船务）物业经营部高级主管,0
招商邮轮,港口业务中心（蛇口邮轮母港）,港口业务中心专业经理,邮轮事业部港口运作中心运作高级经理,0
招商邮轮,港口业务中心（蛇口邮轮母港）,港口业务中心工程技术组副组长,公司-操作序列-事业部本部操作岗,0
招商邮轮,港口业务中心（蛇口邮轮母港）,港口业务中心工程技术组副组长,招港客运安全技术部技术主管,1
招商邮轮,港口业务中心（蛇口邮轮母港）,港口业务中心工程技术组副组长,港口业务中心安全监察岗,0
招商邮轮,港口业务中心（蛇口邮轮母港）,港口业务中心工程技术组副组长,港口业务中心工程技术组副组长,1
招商邮轮,港口业务中心（蛇口邮轮母港）,港口业务中心工程技术组副组长,港口业务中心高级主管（操作序列）,1
招商邮轮,港口业务中心（蛇口邮轮母港）,港口业务中心工程技术组副组长,蛇口邮轮母港（迅隆船务）码头操作部技术保障组高级主管,1
招商邮轮,港口业务中心（蛇口邮轮母港）,港口业务中心总监,业务主管,1
招商邮轮,港口业务中心（蛇口邮轮母港）,港口业务中心总监,副总经理,0
招商邮轮,港口业务中心（蛇口邮轮母港）,港口业务中心总监,天津邮轮母港副总经理,1
招商邮轮,港口业务中心（蛇口邮轮母港）,港口业务中心总监,总经理,0
招商邮轮,港口业务中心（蛇口邮轮母港）,港口业务中心总监,技术员,0
招商邮轮,港口业务中心（蛇口邮轮母港）,港口业务中心总监,招商邮轮服务有限公司副总经理,0
招商邮轮,港口业务中心（蛇口邮轮母港）,港口业务中心总监,招港客运副总经理\财务总监,0
招商邮轮,港口业务中心（蛇口邮轮母港）,港口业务中心总监,港口业务中心总监,1
招商邮轮,港口业务中心（蛇口邮轮母港）,港口业务中心总监,蛇口邮轮母港（迅隆船务）副总经理,1
招商邮轮,港口业务中心（蛇口邮轮母港）,港口业务中心总监,邮轮事业部副总经理,0
招商邮轮,船务业务中心（招商迅隆）,船务业务中心专员,综合管理部专员,0
招商邮轮,船务业务中心（招商迅隆）,船务业务中心专员,船务业务中心专员,1
招商邮轮,船务业务中心（招商迅隆）,船务业务中心总监,主任,1
招商邮轮,船务业务中心（招商迅隆）,船务业务中心总监,副经理（主持工作）兼乘务队长,0
招商邮轮,船务业务中心（招商迅隆）,船务业务中心总监,总经理,0
招商邮轮,船务业务中心（招商迅隆）,船务业务中心总监,技术内业主管,0
招商邮轮,船务业务中心（招商迅隆）,船务业务中心总监,电脑统计,0
招商邮轮,船务业务中心（招商迅隆）,船务业务中心总监,科员,0
招商邮轮,船务业务中心（招商迅隆）,船务业务中心总监,经理,1
招商邮轮,船务业务中心（招商迅隆）,船务业务中心总监,经理助理,0
招商邮轮,船务业务中心（招商迅隆）,船务业务中心总监,船务业务中心总监,1
招商邮轮,船务业务中心（招商迅隆）,船务业务中心总监,蛇口邮轮母港（迅隆船务）副总经理,1
招商邮轮,船务业务中心（招商迅隆）,船务业务中心总监,蛇口邮轮母港（迅隆船务）办公室副主任（主持工作）,1
招商邮轮,船务业务中心（招商迅隆）,船务业务中心总监,迅隆船务人力资源部经理,0
招商邮轮,船务业务中心（招商迅隆）,船务业务中心总监,迅隆船务办公室主任,1
招商邮轮,船务业务中心（招商迅隆）,船务业务中心总监,邮轮事业部港口运作中心总经理,0
招商邮轮,招商邮轮服务有限公司,招商邮轮服务有限公司副总经理,仓库员,0
招商邮轮,招商邮轮服务有限公司,招商邮轮服务有限公司副总经理,副总经理,1
招商邮轮,招商邮轮服务有限公司,招商邮轮服务有限公司副总经理,总经理助理,1
招商邮轮,招商邮轮服务有限公司,招商邮轮服务有限公司副总经理,招商邮轮服务有限公司副总经理,1
招商邮轮,招商邮轮服务有限公司,招商邮轮服务有限公司副总经理,招港客运副总经理\财务总监,1
招商邮轮,招商邮轮服务有限公司,招商邮轮服务有限公司副总经理,经理,1
招商邮轮,招商邮轮服务有限公司,招商邮轮服务有限公司副总经理,邮轮事业部总监,1
招商邮轮,招商邮轮服务有限公司,财务管理部专业经理,会计主管,1
招商邮轮,招商邮轮服务有限公司,财务管理部专业经理,蛇口邮轮母港（迅隆船务）财务部高级主管,1
招商邮轮,招商邮轮服务有限公司,财务管理部专业经理,财务管理部专业经理,1
招商邮轮,招商邮轮服务有限公司,财务管理部专业经理,迅隆船务财务部会计主管,1
招商邮轮,招商邮轮服务有限公司,财务管理部专业经理,邮轮事业部财务管理部高级主管,1
招商邮轮,船务业务中心-船舶,船务业务中心船舶船员,一级水手,1
招商邮轮,船务业务中心-船舶,船务业务中心船舶船员,三副,1
招商邮轮,船务业务中心-船舶,船务业务中心船舶船员,乘务员,0
招商邮轮,船务业务中心-船舶,船务业务中心船舶船员,乘务长,0
招商邮轮,船务业务中心-船舶,船务业务中心船舶船员,二副,1
招商邮轮,船务业务中心-船舶,船务业务中心船舶船员,二管轮,1
招商邮轮,船务业务中心-船舶,船务业务中心船舶船员,二管轮/大管轮,1
招商邮轮,船务业务中心-船舶,船务业务中心船舶船员,仓管,0
招商邮轮,船务业务中心-船舶,船务业务中心船舶船员,保安,0
招商邮轮,船务业务中心-船舶,船务业务中心船舶船员,值班水手,1
招商邮轮,船务业务中心-船舶,船务业务中心船舶船员,公司-操作序列-专业公司总部操作岗,0
招商邮轮,船务业务中心-船舶,船务业务中心船舶船员,公司-操作序列-事业部本部操作岗,0
招商邮轮,船务业务中心-船舶,船务业务中心船舶船员,公司ISM体系,0
招商邮轮,船务业务中心-船舶,船务业务中心船舶船员,办事员,0
招商邮轮,船务业务中心-船舶,船务业务中心船舶船员,厨师,0
招商邮轮,船务业务中心-船舶,船务业务中心船舶船员,大副,1
