组织名称,部门名称,a_position,b_position,relationship
中外运（绵阳）综合保税区物流有限公司,绵阳出口加工区营业部综合保障团队,财务高级专员-会计,会计,1
中外运（绵阳）综合保税区物流有限公司,绵阳出口加工区营业部综合保障团队,财务高级专员-会计,财务专员-会计,1
中外运（绵阳）综合保税区物流有限公司,绵阳出口加工区营业部综合保障团队,财务高级专员-会计,财务部会计,1
中外运（绵阳）综合保税区物流有限公司,绵阳出口加工区营业部综合保障团队,财务高级专员-会计,财务高级专员-会计,1
中外运（绵阳）综合保税区物流有限公司,绵阳出口加工区营业部综合保障团队,运营管理助理主管-业务资源与采购管理,供应商管理专员,1
中外运（绵阳）综合保税区物流有限公司,绵阳出口加工区营业部综合保障团队,运营管理助理主管-业务资源与采购管理,国际快件客服专员,0
中外运（绵阳）综合保税区物流有限公司,绵阳出口加工区营业部综合保障团队,运营管理助理主管-业务资源与采购管理,客服专员,0
中外运（绵阳）综合保税区物流有限公司,绵阳出口加工区营业部综合保障团队,运营管理助理主管-业务资源与采购管理,客服部客服代表,0
中外运（绵阳）综合保税区物流有限公司,绵阳出口加工区营业部综合保障团队,运营管理助理主管-业务资源与采购管理,物业办公室,0
中外运（绵阳）综合保税区物流有限公司,绵阳出口加工区营业部综合保障团队,运营管理助理主管-业务资源与采购管理,绵阳分公司国际快件部客服员,0
中外运（绵阳）综合保税区物流有限公司,绵阳出口加工区营业部综合保障团队,运营管理助理主管-业务资源与采购管理,运营管理专员-业务资源采购管理,1
中外运（绵阳）综合保税区物流有限公司,绵阳出口加工区营业部综合保障团队,运营管理助理主管-业务资源与采购管理,运营管理助理主管-业务资源与采购管理,1
中外运（绵阳）综合保税区物流有限公司,绵阳出口加工区营业部综合保障团队,运营管理助理主管-业务资源与采购管理,销售经理,0
中外运（绵阳）综合保税区物流有限公司,绵阳出口加工区营业部客服团队,服务交付专员-报关报检,客服团队报关报检员,1
中外运（绵阳）综合保税区物流有限公司,绵阳出口加工区营业部客服团队,服务交付专员-报关报检,报关员,1
中外运（绵阳）综合保税区物流有限公司,绵阳出口加工区营业部客服团队,服务交付专员-报关报检,报关报检,1
中外运（绵阳）综合保税区物流有限公司,绵阳出口加工区营业部客服团队,服务交付专员-报关报检,服务交付专员-报关报检,1
中外运（绵阳）综合保税区物流有限公司,绵阳出口加工区营业部客服团队,服务交付助理主管-报关报检,仓库账务员,0
中外运（绵阳）综合保税区物流有限公司,绵阳出口加工区营业部客服团队,服务交付助理主管-报关报检,客服,0
中外运（绵阳）综合保税区物流有限公司,绵阳出口加工区营业部客服团队,服务交付助理主管-报关报检,客服团队报关报检员,1
中外运（绵阳）综合保税区物流有限公司,绵阳出口加工区营业部客服团队,服务交付助理主管-报关报检,报关员,1
中外运（绵阳）综合保税区物流有限公司,绵阳出口加工区营业部客服团队,服务交付助理主管-报关报检,报关报检员,1
中外运（绵阳）综合保税区物流有限公司,绵阳出口加工区营业部客服团队,服务交付助理主管-报关报检,操作部关务组报关员,1
中外运（绵阳）综合保税区物流有限公司,绵阳出口加工区营业部客服团队,服务交付助理主管-报关报检,服务交付专员-报关报检,1
中外运（绵阳）综合保税区物流有限公司,绵阳出口加工区营业部客服团队,服务交付助理主管-报关报检,服务交付助理主管-报关报检,1
中外运（绵阳）综合保税区物流有限公司,绵阳出口加工区营业部客服团队,服务交付助理主管-报关报检,未参加工作,0
中外运（绵阳）综合保税区物流有限公司,绵阳出口加工区营业部客服团队,服务交付助理主管-报关报检,绵阳分公司作业部报关报检员,1
中外运（绵阳）综合保税区物流有限公司,绵阳出口加工区营业部客服团队,服务交付助理主管-报关报检,销售助理,0
中外运（绵阳）综合保税区物流有限公司,绵阳出口加工区营业部管理层,绵阳出口加工区营业部经理,中外运绵阳出口加工区副总经理,1
中外运（绵阳）综合保税区物流有限公司,绵阳出口加工区营业部管理层,绵阳出口加工区营业部经理,中外运绵阳加工区物流总经理,1
中外运（绵阳）综合保税区物流有限公司,绵阳出口加工区营业部管理层,绵阳出口加工区营业部经理,报关组主管,1
中外运（绵阳）综合保税区物流有限公司,绵阳出口加工区营业部管理层,绵阳出口加工区营业部经理,操作部关务组关务副经理,0
中外运（绵阳）综合保税区物流有限公司,绵阳出口加工区营业部管理层,绵阳出口加工区营业部经理,操作部副经理（关务）,0
中外运（绵阳）综合保税区物流有限公司,绵阳出口加工区营业部管理层,绵阳出口加工区营业部经理,管理层经理,1
中外运（绵阳）综合保税区物流有限公司,绵阳出口加工区营业部管理层,绵阳出口加工区营业部经理,绵阳出口加工区营业部经理,1
中外运（绵阳）综合保税区物流有限公司,绵阳出口加工区营业部管理层,绵阳出口加工区营业部经理,绵阳分公司作业部关务主管,0
中外运（绵阳）综合保税区物流有限公司,绵阳出口加工区营业部管理层,绵阳出口加工区营业部经理,绵阳分公司作业部报关报检员,0
中外运（绵阳）综合保税区物流有限公司,绵阳出口加工区营业部管理层,绵阳出口加工区营业部经理,绵阳营业部综合业务部国际货运报关报检员,0
佛山中外运嘉航物流有限公司,佛山嘉航营业部操作团队,基础类高级操作工-仓管,保税仓仓管员,1
佛山中外运嘉航物流有限公司,佛山嘉航营业部操作团队,基础类高级操作工-仓管,保税仓储业务部仓管员,1
佛山中外运嘉航物流有限公司,佛山嘉航营业部操作团队,基础类高级操作工-仓管,基础类高级操作工-仓管,1
佛山中外运嘉航物流有限公司,佛山嘉航营业部操作团队,基础类高级操作工-仓管,快件货运业务部仓管员,1
佛山中外运嘉航物流有限公司,佛山嘉航营业部操作团队,基础类高级操作工-仓管,操作团队保税仓储仓管员,1
佛山中外运嘉航物流有限公司,佛山嘉航营业部操作团队,运作管理主管-仓库管理,仓管员,1
佛山中外运嘉航物流有限公司,佛山嘉航营业部操作团队,运作管理主管-仓库管理,保税仓主管,1
佛山中外运嘉航物流有限公司,佛山嘉航营业部操作团队,运作管理主管-仓库管理,保税仓仓管员,1
佛山中外运嘉航物流有限公司,佛山嘉航营业部操作团队,运作管理主管-仓库管理,保税仓储业务部主管,1
佛山中外运嘉航物流有限公司,佛山嘉航营业部操作团队,运作管理主管-仓库管理,保税仓储业务部仓管员,1
佛山中外运嘉航物流有限公司,佛山嘉航营业部操作团队,运作管理主管-仓库管理,快件部主管,0
佛山中外运嘉航物流有限公司,佛山嘉航营业部操作团队,运作管理主管-仓库管理,操作团队保税仓储主管,1
佛山中外运嘉航物流有限公司,佛山嘉航营业部操作团队,运作管理主管-仓库管理,模具工人,0
佛山中外运嘉航物流有限公司,佛山嘉航营业部操作团队,运作管理主管-仓库管理,治安管理员,0
佛山中外运嘉航物流有限公司,佛山嘉航营业部操作团队,运作管理主管-仓库管理,物业管理员,0
佛山中外运嘉航物流有限公司,佛山嘉航营业部操作团队,运作管理主管-仓库管理,运作管理主管-仓库管理,1
佛山中外运快件管理报关有限公司,佛山快件营业部管理层,佛山快件营业部副经理,主管,1
佛山中外运快件管理报关有限公司,佛山快件营业部管理层,佛山快件营业部副经理,佛山快件营业部副经理,1
佛山中外运快件管理报关有限公司,佛山快件营业部管理层,佛山快件营业部副经理,公司副总经理,0
佛山中外运快件管理报关有限公司,佛山快件营业部管理层,佛山快件营业部副经理,公司副总经理[兼职],0
佛山中外运快件管理报关有限公司,佛山快件营业部管理层,佛山快件营业部副经理,公司管理层副总经理,0
佛山中外运快件管理报关有限公司,佛山快件营业部管理层,佛山快件营业部副经理,公司管理层总经理助理,0
佛山中外运快件管理报关有限公司,佛山快件营业部管理层,佛山快件营业部副经理,员工,0
佛山中外运快件管理报关有限公司,佛山快件营业部管理层,佛山快件营业部副经理,市场营销部总经理,0
佛山中外运快件管理报关有限公司,佛山快件营业部管理层,佛山快件营业部副经理,总经理助理,0
佛山中外运快件管理报关有限公司,佛山快件营业部管理层,佛山快件营业部副经理,管理层副总经理,0
佛山中外运快件管理报关有限公司,佛山快件营业部管理层,佛山快件营业部副经理,经理,0
佛山中外运快件管理报关有限公司,佛山快件营业部管理层,佛山快件营业部经理,业务员,0
佛山中外运快件管理报关有限公司,佛山快件营业部管理层,佛山快件营业部经理,交通警察,0
佛山中外运快件管理报关有限公司,佛山快件营业部管理层,佛山快件营业部经理,佛山快件营业部经理,1
佛山中外运快件管理报关有限公司,佛山快件营业部管理层,佛山快件营业部经理,公司管理层副总经理,0
佛山中外运快件管理报关有限公司,佛山快件营业部管理层,佛山快件营业部经理,公司管理层副总经理2,0
佛山中外运快件管理报关有限公司,佛山快件营业部管理层,佛山快件营业部经理,公司管理层总经理,0
佛山中外运快件管理报关有限公司,佛山快件营业部管理层,佛山快件营业部经理,公司管理层总经理[兼职],0
佛山中外运快件管理报关有限公司,佛山快件营业部管理层,佛山快件营业部经理,总经理,0
佛山中外运快件管理报关有限公司,佛山快件营业部管理层,佛山快件营业部经理,报关部经理,0
佛山中外运快件管理报关有限公司,佛山快件营业部管理层,佛山快件营业部经理,管理层总经理,0
佛山中外运快件管理报关有限公司,佛山快件营业部综合保障团队,IT技术助理工程师二级-开发支持,IT技术助理工程师二级-开发支持,1
佛山中外运快件管理报关有限公司,佛山快件营业部综合保障团队,IT技术助理工程师二级-开发支持,IT高级主管,0
